,,탄현1동,56,129,179509.029,465799.901
,,탄현2동,56,130,179444.555,466671.416
,,풍산동,57,129,182462.937,462124.445
,고양시일산서구,,56,129,178123.067,463379.542
,,대화동,56,129,178517.400,464229.445
,,송포동,56,129,176783.827,462962.991
,,일산1동,56,129,179704.543,464692.282
,,일산2동,56,129,180470.061,464407.080
,,일산3동,56,129,179849.763,463563.803
,,주엽1동,56,129,179238.866,462804.411
,,주엽2동,56,129,178977.507,463243.190
,과천시,,60,124,199030.074,436034.116
,,갈현동,60,123,199153.857,434939.952
,,과천동,60,124,199714.453,438163.466
,,문원동,60,124,200337.120,436136.392
,,별양동,60,124,199568.981,435486.214
,,부림동,60,124,199991.931,436514.058
,,중앙동,60,124,199472.707,436801.420
,광명시,,58,125,188142.722,441523.071
,,광명1동,58,125,187968.680,442640.918
,,광명2동,58,125,187372.262,442057.891
,,광명3동,58,125,187461.159,441707.216
,,광명4동,58,125,187409.523,441362.306
,,광명5동,58,125,186599.707,441549.493
,,광명6동,58,125,186757.898,440759.060
,,광명7동,58,125,187162.463,440501.603
,,소하1동,58,124,189978.525,438198.683
,,소하2동,58,124,189296.917,437270.023
,,일직동,58,123,189562.487,435182.649
,,철산1동,58,125,188431.879,442884.735
,,철산2동,58,125,188320.602,442202.621
,,철산3동,58,125,188649.490,441782.560
,,철산4동,58,125,188132.421,441026.721
,,하안1동,58,124,188541.639,440034.027
,,하안2동,58,124,189037.998,439986.178
,,하안3동,58,124,189649.580,439322.537
,,하안4동,58,124,189304.788,440098.355
,,학온동,58,123,186956.424,434544.962
,광주시,,65,123,222754.030,434747.483
,,경안동,65,123,222904.734,434039.110
,,곤지암읍,66,122,230608.799,427160.765
,,광남1동,64,123,220076.973,432237.644
,,광남2동,64,123,220090.458,431907.433
,,남종면,65,125,226817.919,443308.714
,,남한산성면,64,124,221787.907,439849.472
,,능평동,63,122,214753.860,427538.518
,,도척면,66,121,229485.852,422252.360
,,송정동,65,124,222585.817,436010.592
,,신현동,63,122,214004.883,428639.057
,,쌍령동,65,123,223762.020,433114.054
,,오포1동,64,122,220182.493,429374.377
,,오포2동,65,123,222486.565,430664.325
,,초월읍,65,123,225690.382,431231.138
,,탄벌동,64,124,221522.134,435318.113
,,퇴촌면,66,125,227282.615,440240.420
,구리시,,62,127,211579.505,454383.064
,,갈매동,62,128,210382.634,458894.215
,,교문1동,62,127,211403.809,455137.561
,,교문2동,63,127,211979.332,453561.984
,,동구동,63,128,212427.707,456312.121
,,수택1동,63,127,213294.730,454615.902
,,수택2동,63,127,212488.649,454250.556
,,수택3동,63,127,212571.065,454096.525
,,인창동,63,128,212041.086,455503.484
,군포시,,59,122,194395.611,428520.707
,,광정동,59,122,193733.920,428585.625
,,군포1동,59,122,195287.923,427649.206
,,군포2동,59,122,195072.573,426849.620
,,궁내동,59,122,193190.327,428316.305
